"SVAD_identifier","SEX","agey","FDL","FMSB","FDB","TDL","TPB","TMSB","TDB","FBDL","HDL","HPB","HMSB","HDB","RDL","RPB","RMSB","RDB","UDL","UMSB","max_M1","max_M2","max_M3","max_PM1","max_PM2","max_C","max_I1","max_I2","man_M1","man_M2","man_M3","man_PM1","man_PM2","man_C","man_I1","man_I2","FH_EF","FGT_EF","FLT_EF","FDE_EF","TPE_EF","TDE_EF","FBPE_EF","FBDE_EF","HH_Oss","HGT_Oss","HLT_Oss","HPE_EF","HC_Oss","HT_Oss","HLE_Oss","HDE_EF","HME_EF","RPE_EF","RDE_EF","UPE_EF","UDE_EF","CT_EF","CC_Oss","TC_Oss","ISPR_EF","ILIS_EF","PC_Oss","IC_EF"
"US_0975","F",20.58356164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,2,2,1,3
"US_1244","F",20.77808219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,10,11,11,11,11,11,11,11,10,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"US_0392","F",19.93155373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,1,1,1,2,1,1,1,3,3,3,2,3,2,3,8,5,2,2,1,2
"US_0248","F",15.75359343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,7,11,11,11,11,11,11,11,8,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_1052","F",16.13689254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,6,11,11,11,11,11,11,11,7,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_0426","F",17.73853525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,7,11,11,11,11,11,11,11,10,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_0341","F",19.06365503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,11,11,11,11,11,11,11,NA,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"US_1243","F",15.02258727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,6,11,11,11,11,11,11,9,6,11,11,11,11,11,3,3,3,2,3,3,2,3,1,1,1,2,1,1,1,3,3,3,2,3,2,3,8,5,2,2,1,2
"US_1118","F",15.77823409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,11,11,11,11,11,11,11,7,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_1286","F",17.56057495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,11,11,11,11,11,11,11,9,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"US_0063","F",11.59753593,353.89,22.23,61.51,NA,51.55,20.19,38.32,301.73,NA,37.58,17.79,48.32,NA,15.89,13.14,22.9,NA,11.88,11,7,4,9,9,11,11,10,11,9,4,9,9,10,11,11,2,2,3,2,2,2,2,2,1,1,1,2,1,1,1,3,3,3,2,3,2,3,8,5,2,2,1,1
"US_0145","M",13.9028063,403.92,24.69,76.57,NA,60.71,20.24,39.42,325.33,285.93,41.56,20.1,56.12,NA,19.15,14.69,27.56,NA,13.94,11,10,7,10,10,10,11,10,11,10,7,11,10,11,11,11,2,2,3,2,2,2,2,2,1,1,1,2,1,1,1,3,3,2,2,3,2,3,8,5,2,2,1,1
"US_0017","M",15.89048597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,7,11,10,11,11,11,11,10,7,10,10,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"US_1174","F",10.32717317,319.33,20.61,57.34,275.52,45.58,19.93,34.48,265.09,NA,NA,NA,42.11,170.01,14.4,11.64,20.93,NA,12.23,11,8,3,9,9,9,10,10,11,7,4,10,9,9,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,8,5,2,1,1,0
"US_1157","M",5.500342231,239.29,16.3,51.72,195.4,42.37,13.16,28.71,193.97,170.28,28.28,14.37,32.95,129.45,12.84,10.79,17.96,142.43,9.67,8,4,NA,6,5,6,6,6,8,3,NA,6,5,6,7,7,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,3,5,1,0,1,NA
"US_0483","F",13.15811088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,6,9,9,10,11,11,11,10,6,10,10,10,11,11,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,3,2,3,2,3,8,5,2,2,1,1
